調査日,医療機関名,病院URL,緯度,経度,外来_平日,外来_土日,入院,救急
2020-03-19,神奈川県立循環器呼吸器病センター,http://junko.kanagawa-pho.jp/,35.3612,139.6321,通常,なし,通常,通常
2020-03-19,医療法人社団元気会　横浜病院,http://genkikaiyokohama.jp/index.html,35.5018,139.542,通常,通常,通常,なし
2020-03-19,鶴見大学歯学部　附属病院,https://www.tsurumi-u.ac.jp/site/dental-hospital/,35.5056,139.6743,一部制約あり,一部制約あり,一部制約あり,一部制約あり
2020-03-19,愛育病院,http://www.aiiku-hos.or.jp/,35.4967,139.4444,通常,通常,通常,なし
2020-03-19,医療法人社団一成会　たちばな台病院,https://tachibanadai-hp.com/,35.554,139.5137,通常,通常,通常,通常
2020-03-19,医療法人社団青葉会　牧野リハビリテーション病院,https://makino-reha.jp/,35.5058,139.5711,通常,なし,通常,なし
2020-03-19,山本記念病院,https://www.yamamoto-kinen.or.jp/,35.5589,139.6124,通常,通常,通常,なし
2020-03-19,昭和大学藤が丘病院,http://www.showa-u.ac.jp/SUHF/index.html,35.5449,139.5292,通常,通常,通常,通常
2020-03-19,医療法人社団青葉会　牧野記念病院,https://makino-hp.jp/,35.5077,139.5702,通常,通常,通常,通常
2020-03-19,相模原中央病院,http://sagamihara-chuo-hospital.jp/,35.5684,139.3731,一部制約あり,一部制約あり,停止,停止
2020-03-19,ふれあい鶴見ホスピタル,http://www.fureai-g.or.jp/tsu/,35.4962,139.6591,通常,通常,通常,通常
2020-03-19,茅ヶ崎新北陵病院,https://www.fureai-g.or.jp/hokuryou/,35.3688,139.4127,通常,通常,通常,なし
2020-03-19,医療法人社団昌栄会　相武台病院,https://www.smg-net.com/soubudai/,35.5059,139.4118,通常,通常,一部制約あり,通常
2020-03-19,横浜市立みなと赤十字病院,http://www.yokohama.jrc.or.jp/,35.4366,139.664,通常,通常,通常,通常
2020-03-19,昭和大学藤が丘リハビリテーション病院,http://www.showa-u.ac.jp/SUHR/index.html,35.5446,139.5267,通常,通常,通常,なし
2020-03-19,神奈川県立精神医療センター,http://seishin.kanagawa-pho.jp/,35.4207,139.5736,通常,なし,通常,通常
2020-03-19,独立行政法人　地域医療機能推進機構　横浜保土ケ谷中央病院,https://hodogaya.jcho.go.jp/,35.4727,139.5835,通常,なし,通常,通常
2020-03-19,医療法人社団仁明会　秋山脳神経外科病院,https://akiyama-hospital.jp/,35.4038,139.5937,通常,通常,通常,通常
2020-03-19,神奈川県立病院機構　神奈川県立こども医療センター,http://kcmc.kanagawa-pho.jp/,35.4213,139.5789,通常,なし,通常,通常
2020-03-19,独立行政法人国立病院機構箱根病院,https://hakone.hosp.go.jp/,35.2475,139.1288,通常,なし,通常,なし
2020-03-19,医療法人社団 協友会 横浜鶴見リハビリテーション病院,https://yt-reha.jp/,35.4979,139.6823,通常,なし,通常,なし
2020-03-19,公立大学法人　横浜市立大学附属市民総合医療センター,https://www.yokohama-cu.ac.jp/urahp/,35.4339,139.6248,通常,なし,通常,通常
2020-03-19,太陽の門,https://kazamatsurinomori.or.jp/,35.2489,139.1315,通常,通常,一部制約あり,なし
2020-03-19,徳田病院,http://www.tokuda-hospital.jp/outpatient/section.html?utm_source=google&utm_medium=cpc&utm_campaign=adwords,35.5149,139.6722,通常,通常,通常,通常
2020-03-19,医療法人徳洲会　　湘南藤沢徳洲会病院,https://fujisawatokushukai.jp/,35.3412,139.4446,通常,通常,通常,通常
2020-03-19,一般財団法人聖マリアンナ会東横惠愛病院,https://www.st-marianna.com/,35.575,139.5825,通常,通常,通常,なし
2020-03-19,大船中央病院,https://www.ofunachuohp.net/,35.3518,139.5378,通常,通常,一部制約あり,通常
2020-03-19,医療法人社団哺育会　桜ヶ丘中央病院,http://www.sakura-hp.or.jp/,35.4515,139.4648,通常,通常,一部制約あり,通常
2020-03-19,医療法人社団明芳会イムス横浜狩場脳神経外科病院 ,https://www.karibanouge.com/,35.4337,139.5764,通常,通常,通常,通常
2020-03-19,鈴木病院,https://www.suzuki-hp.ne.jp/,35.3071,139.5014,通常,通常,通常,通常
2020-03-19,神奈川中央病院,https://kanagawachuo-hospital.com/,35.4912,139.3666,通常,なし,通常,なし
2020-03-19,湘陽かしわ台病院,http://syokashi-hp.or.jp/,35.4643,139.4163,通常,停止,一部制約あり,一部制約あり
2020-03-19,医療法人同愛会　小澤病院,https://www.ozawa-hospital.com/,35.2519,139.1589,通常,通常,通常,通常
2020-03-19,医療法人社団　片山整形外科記念病院,http://www.katayama-seikei.jp/,35.5164,139.6589,通常,通常,通常,通常
2020-03-19,医療法人財団青山会　福井記念病院,http://www.bmk.or.jp/fukui/,35.2033,139.6449,通常,通常,通常,なし
2020-03-19,湘南中央病院,https://www.swg.or.jp/,35.3428,139.4497,通常,通常,通常,通常
2020-03-19,仁恵病院,http://www.jinkei-hp.com/guide.html,35.489,139.6536,通常,通常,通常,なし
2020-03-19,社会医療法人ジャパンメディカルアライアンス　座間総合病院,https://zama.jinai.jp/,35.4942,139.4007,通常,通常,通常,通常
2020-03-19,医療法人社団慶神会　武田病院,http://www.takeda-hp.jp/,35.6171,139.5731,通常,通常,通常,なし
2020-03-19,横浜市立脳卒中・神経脊椎センター,https://www.city.yokohama.lg.jp/kurashi/kenko-iryo/byoin/ybsc/,35.4222,139.6182,通常,なし,通常,通常
2020-03-19,ふれあい東戸塚ホスピタル,http://www.fureai-g.or.jp/ht-hosp/,35.4381,139.5495,通常,通常,通常,通常
2020-03-19,京浜総合病院,https://keihin-ghp.or.jp/,35.5859,139.6311,通常,通常,通常,通常
2020-03-19,独立行政法人労働者　健康安全機構　横浜労災病院,https://www.yokohamah.johas.go.jp/,35.5111,139.6109,通常,通常,通常,通常
2020-03-19,医療法人社団恵生会　上白根病院,http://www.med-keiseikai.or.jp/kami/,35.4942,139.5347,通常,通常,通常,通常
2020-03-19,社会医療法人財団　石心会川崎幸病院,https://saiwaihp.jp/,35.5284,139.6922,通常,通常,通常,通常
2020-03-19,茅ヶ崎市立病院,https://hosp.city.chigasaki.kanagawa.jp/,35.3402,139.4155,通常,通常,通常,通常
2020-03-19,湘南第一病院,http://shonan-daiichi.jp/,35.3952,139.4689,一部制約あり,一部制約あり,通常,通常
2020-03-19,新中川病院,http://www.hoyukai.org/shin-nakagawa/index.htm,35.4487,139.5194,通常,通常,通常,なし
2020-03-19,聖マリアンナ医科大学病院,https://www.marianna-u.ac.jp/hospital/,35.6007,139.5488,通常,通常,通常,通常
2020-03-19,国家公務員共済組合　連合会　横浜栄共済病院,https://www.yokohamasakae.jp/index.html,35.3636,139.5514,通常,なし,通常,通常
2020-03-19,日本鋼管病院,https://www.koukankai.or.jp/,35.5198,139.712,通常,通常,通常,通常
2020-03-19,医療法人社団朋友会　けやきの森病院,https://www.keyakinomori.jp/,35.3851,139.3829,通常,通常,通常,通常
2020-03-19,新横浜母と子の病院,https://www.hahatoko.jp/hospital/,35.503,139.6056,通常,通常,通常,なし
2020-03-19,湘南長寿園病院,http://chojuen.com/,35.3528,139.4806,通常,なし,通常,なし
2020-03-19,横浜市立市民病院,https://yokohama-shiminhosp.jp/,35.473,139.5996,通常,通常,通常,通常
2020-03-19,ワゲン療育病院長竹,http://www.wagen.or.jp/nagatake/,35.5674,139.2666,なし,なし,なし,なし
2020-03-19,総合新川橋病院,https://shinkawabashi.or.jp/,35.5269,139.7031,通常,通常,通常,通常
2020-03-19,医療法人社団正拓会　湘南太平台病院,https://shonan-taiheidai.or.jp/,35.3347,139.4676,一部制約あり,一部制約あり,通常,なし
2020-03-19,医療法人花咲会　　かわさき記念病院,https://kkh.ne.jp/,35.5931,139.5306,通常,通常,通常,なし
